series,ym,ton,ton_ytd,ton_ytd_bfyear
dried,201003,0.0,0.0,0.0
dried,201004,0.0,0.0,0.0
dried,201005,0.0,0.0,0.0
dried,201006,0.0,0.0,0.0
dried,201007,0.0,0.0,0.0
dried,201008,0.0,0.0,0.0
dried,201009,0.0,0.0,0.0
dried,201010,0.0,0.0,0.0
dried,201011,0.0,0.0,0.0
dried,201012,0.0,0.0,0.0
dried,201101,0.0,0.0,0.0
dried,201102,0.0,0.0,0.0
dried,201103,0.0,0.0,0.0
dried,201104,0.0,0.0,0.0
dried,201105,0.0,0.0,0.0
dried,201106,0.0,0.0,0.0
dried,201107,0.0,0.0,0.0
dried,201108,0.0,0.0,0.0
dried,201109,0.0,0.0,0.0
dried,201110,0.0,0.0,0.0
dried,201111,0.0,0.0,0.0
dried,201112,0.0,0.0,0.0
dried,201201,2090.0,2090.0,0.0
dried,201202,332.0,2422.0,0.0
dried,201203,193.0,2615.0,0.0
dried,201204,457.0,3072.0,0.0
dried,201205,426.0,3498.0,0.0
dried,201206,6028.0,9526.0,0.0
dried,201207,646.0,10172.0,0.0
dried,201208,206.0,10378.0,0.0
dried,201209,138.0,10516.0,0.0
dried,201210,114.0,10630.0,0.0
dried,201211,220.0,10850.0,0.0
dried,201212,239.0,11089.0,0.0
dried,201301,232.0,232.0,2090.0
dried,201302,168.0,400.0,2422.0
dried,201303,159.0,559.0,2615.0
dried,201304,564.0,1123.0,3072.0
dried,201305,289.0,1412.0,3498.0
dried,201306,441.0,1853.0,9526.0
dried,201307,479.0,2332.0,10172.0
dried,201308,175.0,2507.0,10378.0
dried,201309,258.0,2765.0,10516.0
dried,201310,393.0,3158.0,10630.0
dried,201311,551.0,3709.0,10850.0
dried,201312,254.0,3963.0,11089.0
dried,201401,246.0,246.0,232.0
dried,201402,113.0,360.0,400.0
dried,201403,216.0,576.0,559.0
dried,201404,261.0,837.0,1123.0
dried,201405,250.0,1087.0,1412.0
dried,201406,329.0,1415.0,1853.0
dried,201407,222.0,1638.0,2332.0
dried,201408,244.0,1882.0,2507.0
dried,201409,139.0,2021.0,2765.0
dried,201410,192.0,2213.0,3158.0
dried,201411,190.0,2403.0,3709.0
