DATE,품목명,1위산지,1위물량,2위산지,2위물량,기타물량,총반입량
202601하순,홍고추,경상남도 진주시,49,경상남도 밀양시,2,3,54
202602상순,홍고추,경상남도 진주시,44,광주광역시 광주 남구,4,7,55
202602중순,홍고추,경상남도 진주시,46,광주광역시 광주 남구,2,3,51
202602하순,홍고추,경상남도 진주시,33,광주광역시 광주 남구,2,3,38
202603상순,홍고추,경상남도 진주시,30,광주광역시 광주 남구,11,7,48
202603중순,홍고추,경상남도 진주시,40,광주광역시 광주 남구,13,10,63
202603하순,홍고추,경상남도 진주시,51,광주광역시 광주 남구,13,7,71
202604상순,홍고추,경상남도 진주시,45,광주광역시 광주 남구,17,6,68
202604중순,홍고추,경상남도 진주시,105,광주광역시 광주 남구,8,6,118
202604하순,홍고추,경상남도 진주시,98,경상남도 밀양시,4,4,106
202605상순,홍고추,경상남도 진주시,62,경상남도 밀양시,7,0,68
202605중순,홍고추,경상남도 진주시,115,경상남도 밀양시,16,0,131
202605하순,홍고추,경상남도 진주시,88,경상남도 밀양시,24,1,113
202606상순,홍고추,경상남도 진주시,95,경상남도 밀양시,41,2,139
202606중순,홍고추,경상남도 진주시,82,경상남도 밀양시,42,6,130
202606하순,홍고추,경상남도 진주시,79,경상남도 밀양시,46,11,136
202607상순,홍고추,경상남도 진주시,93,경상남도 밀양시,43,17,153
202607중순,홍고추,경상남도 진주시,65,경상남도 밀양시,51,57,173
202607하순,홍고추,경상남도 진주시,47,경상남도 밀양시,41,209,297
202608상순,홍고추,강원도 홍천군,53,경상북도 영주시,47,324,423
202608중순,홍고추,강원도 평창군,82,강원도 홍천군,68,400,550
202608하순,홍고추,강원도 평창군,58,강원도 홍천군,37,118,213
202609상순,홍고추,강원도 평창군,39,강원도 인제군,16,63,118
202609중순,홍고추,강원도 평창군,29,강원도 홍천군,14,50,93
